epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2783,1.2698,2.25682,1.19226,1,0.09336,0.50954,0.36873,0.85022,3.27269,1.03908,0.000655172,0.000655172,0.000655172
2,32.2168,1.22496,1.22398,1.14669,0.51231,0.31635,0.38561,0.25651,1.34474,2.23778,1.35557,0.00130003,0.00130003,0.00130003
3,47.8188,1.25692,0.95695,1.18129,0.8873,0.77841,0.86001,0.66351,0.78345,1.27384,1.01906,0.00192289,0.00192289,0.00192289
4,63.0591,1.20977,0.78964,1.16222,0.9721,0.92614,0.96002,0.74865,0.96827,0.79998,1.19366,0.001901,0.001901,0.001901
5,78.4033,1.14796,0.70881,1.11577,0.98252,0.95824,0.98838,0.84239,0.66883,0.52591,0.95545,0.001868,0.001868,0.001868
6,93.6542,1.15898,0.66679,1.12455,0.95447,0.97159,0.98487,0.79125,0.74143,0.67582,0.97585,0.001835,0.001835,0.001835
7,109.066,1.14072,0.6545,1.12498,0.96268,0.94886,0.97903,0.84809,0.69874,0.55977,0.97818,0.001802,0.001802,0.001802
8,124.454,1.10931,0.61608,1.10554,0.97255,0.97159,0.98591,0.82777,0.70227,0.52149,0.96564,0.001769,0.001769,0.001769
9,140.15,1.12094,0.61322,1.10911,0.94028,0.96591,0.96749,0.77841,0.91592,0.59913,1.11713,0.001736,0.001736,0.001736
10,156.064,1.09124,0.58778,1.10362,0.9774,0.97727,0.99277,0.81392,0.68652,0.42968,0.94783,0.001703,0.001703,0.001703
11,172.079,1.07946,0.56269,1.09268,0.96068,0.98295,0.98399,0.85214,0.72427,0.49019,1.00742,0.00167,0.00167,0.00167
12,187.975,1.06464,0.56543,1.08734,0.97068,0.96591,0.98179,0.82659,0.70729,0.46313,0.96517,0.001637,0.001637,0.001637
13,203.944,1.06904,0.5602,1.08703,0.97013,0.97727,0.97999,0.84511,0.63847,0.46841,0.93723,0.001604,0.001604,0.001604
14,219.962,1.07701,0.54934,1.07857,0.96604,0.98295,0.99068,0.82161,0.68328,0.54909,0.9472,0.001571,0.001571,0.001571
15,235.725,1.06158,0.5488,1.07748,0.98295,0.98295,0.99349,0.86904,0.66852,0.37618,0.961,0.001538,0.001538,0.001538
16,252.073,1.03328,0.52622,1.07199,0.98836,0.96494,0.98529,0.8488,0.70457,0.44649,0.97333,0.001505,0.001505,0.001505
17,268.235,1.02551,0.5217,1.07036,0.9679,0.98295,0.98786,0.85825,0.63925,0.42814,0.93038,0.001472,0.001472,0.001472
18,284.762,1.02714,0.51661,1.06801,0.98275,0.97108,0.99376,0.82778,0.68453,0.37858,0.93876,0.001439,0.001439,0.001439
19,301.605,1.01188,0.51043,1.05473,0.9788,0.97159,0.98577,0.86101,0.65965,0.42655,0.93985,0.001406,0.001406,0.001406
20,318.065,0.99268,0.49795,1.05549,0.96126,0.98681,0.99333,0.88287,0.53398,0.40694,0.90308,0.001373,0.001373,0.001373
21,334.48,0.98518,0.49775,1.03599,0.96664,0.98768,0.99345,0.84401,0.59861,0.40831,0.90461,0.00134,0.00134,0.00134
22,350.86,1.00083,0.5071,1.06278,0.95877,0.99432,0.99068,0.88344,0.5952,0.46541,0.93875,0.001307,0.001307,0.001307
23,367.11,0.9878,0.49516,1.05726,0.96663,0.98755,0.98916,0.87625,0.62337,0.44301,0.96274,0.001274,0.001274,0.001274
24,383.352,0.99073,0.48688,1.04765,0.98003,0.97727,0.98464,0.85267,0.59249,0.4509,0.91133,0.001241,0.001241,0.001241
25,399.559,0.99383,0.48922,1.0454,0.98299,0.98521,0.99348,0.86645,0.55977,0.34548,0.89499,0.001208,0.001208,0.001208
26,415.739,0.97183,0.47183,1.04181,0.98006,0.98864,0.98725,0.87,0.56656,0.37405,0.90379,0.001175,0.001175,0.001175
27,431.697,0.97718,0.47236,1.0382,0.98293,0.98143,0.99329,0.87465,0.60339,0.41056,0.93824,0.001142,0.001142,0.001142
28,447.728,0.96076,0.47233,1.03397,0.98236,0.98295,0.99401,0.88299,0.60966,0.39194,0.91266,0.001109,0.001109,0.001109
29,463.887,0.97876,0.47398,1.04741,0.98272,0.99432,0.9946,0.87938,0.59492,0.37525,0.90699,0.001076,0.001076,0.001076
30,479.969,0.95847,0.45911,1.03246,0.98676,0.98295,0.99222,0.86066,0.67144,0.43074,0.95122,0.001043,0.001043,0.001043
31,495.998,0.9215,0.45379,1.02211,0.98314,0.99382,0.99444,0.8938,0.59694,0.42622,0.90032,0.00101,0.00101,0.00101
32,511.949,0.94468,0.45578,1.02617,0.9717,0.98864,0.99404,0.90061,0.52954,0.39989,0.8842,0.000977,0.000977,0.000977
33,527.972,0.93484,0.45387,1.02006,0.97607,0.99432,0.99443,0.90066,0.50589,0.34159,0.87266,0.000944,0.000944,0.000944
34,544.219,0.91997,0.44659,1.01227,0.99193,0.98864,0.99461,0.88425,0.61956,0.38815,0.91674,0.000911,0.000911,0.000911
