epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7669,1.56831,3.4221,1.63956,0.49679,0.58019,0.59852,0.46638,0.79423,1.50564,1.04906,0.000254624,0.000254624,0.000254624
2,68.8568,1.02509,1.29755,1.14379,0.94423,0.91943,0.96633,0.7904,0.72735,0.66794,0.96799,0.000502527,0.000502527,0.000502527
3,102.037,0.9564,0.93649,1.09223,0.94665,0.94969,0.98053,0.80686,0.7151,0.55421,0.94471,0.000741971,0.000741971,0.000741971
4,135.509,0.93342,0.80455,1.0782,0.96676,0.96205,0.98283,0.81028,0.71304,0.47939,0.95398,0.000730935,0.000730935,0.000730935
5,169.664,0.90544,0.7289,1.0674,0.97014,0.96904,0.98563,0.81297,0.70928,0.46835,0.9568,0.000718246,0.000718246,0.000718246
6,204.401,0.89515,0.69592,1.06159,0.97124,0.97009,0.98568,0.83844,0.64843,0.42866,0.93031,0.000705558,0.000705558,0.000705558
7,239.157,0.87814,0.6427,1.05186,0.97373,0.9711,0.98615,0.84474,0.6085,0.42037,0.91501,0.000692869,0.000692869,0.000692869
8,273.993,0.86639,0.62922,1.04461,0.97314,0.97377,0.98589,0.77541,0.86241,0.43692,0.99719,0.000680181,0.000680181,0.000680181
9,308.762,0.8427,0.59433,1.03535,0.97916,0.97632,0.98626,0.84782,0.62178,0.38263,0.91542,0.000667492,0.000667492,0.000667492
10,343.461,0.84089,0.58774,1.0349,0.98005,0.98376,0.98692,0.83159,0.67964,0.38013,0.94819,0.000654804,0.000654804,0.000654804
11,378.359,0.83162,0.56504,1.0294,0.97872,0.98315,0.98764,0.84933,0.62956,0.36043,0.92674,0.000642115,0.000642115,0.000642115
12,413.202,0.81826,0.55463,1.02281,0.97323,0.98391,0.98938,0.85662,0.60176,0.35046,0.90992,0.000629427,0.000629427,0.000629427
13,448.347,0.81538,0.53959,1.01911,0.97432,0.98488,0.98927,0.85502,0.61397,0.3426,0.91407,0.000616738,0.000616738,0.000616738
14,483.294,0.80621,0.53453,1.02107,0.97534,0.98187,0.98522,0.82505,0.69915,0.36917,0.94985,0.00060405,0.00060405,0.00060405
15,518.215,0.79925,0.52661,1.01593,0.97514,0.98442,0.9868,0.84814,0.61987,0.34089,0.90951,0.000591361,0.000591361,0.000591361
16,553.313,0.7958,0.51821,1.01243,0.98273,0.98158,0.98646,0.85823,0.60263,0.33073,0.90439,0.000578672,0.000578672,0.000578672
17,588.127,0.7931,0.51446,1.01365,0.97921,0.98456,0.98623,0.85431,0.62141,0.33207,0.9113,0.000565984,0.000565984,0.000565984
18,623.141,0.78034,0.50365,1.009,0.97939,0.97948,0.98422,0.85514,0.59407,0.33495,0.90416,0.000553296,0.000553296,0.000553296
19,658.093,0.77994,0.5,1.00737,0.97828,0.98591,0.98771,0.85534,0.61999,0.33999,0.91547,0.000540607,0.000540607,0.000540607
20,693.026,0.7768,0.4939,1.00452,0.98052,0.98785,0.98836,0.86486,0.5933,0.3185,0.90127,0.000527919,0.000527919,0.000527919
21,728.3,0.76977,0.49303,1.00314,0.97794,0.98671,0.98931,0.86056,0.60219,0.3168,0.90572,0.00051523,0.00051523,0.00051523
22,763.189,0.76629,0.48341,1.00258,0.97046,0.98593,0.98534,0.85317,0.6118,0.32826,0.90232,0.000502541,0.000502541,0.000502541
23,798.14,0.75651,0.47449,0.99513,0.9794,0.98036,0.98987,0.86815,0.58204,0.31274,0.89195,0.000489853,0.000489853,0.000489853
24,833.507,0.75278,0.47517,0.99349,0.97575,0.98534,0.98967,0.86502,0.59732,0.31106,0.90675,0.000477165,0.000477165,0.000477165
25,868.224,0.75266,0.47193,0.99518,0.97555,0.98304,0.98897,0.8705,0.56627,0.3061,0.89065,0.000464476,0.000464476,0.000464476
26,903.191,0.74465,0.46636,0.98978,0.97139,0.99035,0.98532,0.85815,0.60019,0.31248,0.90138,0.000451787,0.000451787,0.000451787
27,938.199,0.75092,0.46304,0.99408,0.97888,0.98631,0.98902,0.86644,0.58578,0.30442,0.90015,0.000439099,0.000439099,0.000439099
28,973.159,0.73438,0.45315,0.98977,0.97796,0.99043,0.98899,0.87088,0.57339,0.29716,0.89352,0.000426411,0.000426411,0.000426411
29,1008.32,0.73318,0.45068,0.98892,0.98126,0.98451,0.98885,0.86499,0.58411,0.30288,0.89365,0.000413722,0.000413722,0.000413722
30,1043.32,0.73266,0.44789,0.98934,0.98196,0.98519,0.98837,0.86098,0.60173,0.30261,0.90002,0.000401033,0.000401033,0.000401033
31,1078.23,0.72717,0.44612,0.98694,0.97749,0.98801,0.98776,0.87423,0.56898,0.29757,0.88908,0.000388345,0.000388345,0.000388345
32,1113.26,0.72838,0.44277,0.98406,0.97906,0.9849,0.98709,0.8719,0.56505,0.29729,0.88843,0.000375656,0.000375656,0.000375656
33,1148.08,0.72034,0.43725,0.98006,0.9812,0.98632,0.98872,0.87001,0.57768,0.29132,0.89492,0.000362968,0.000362968,0.000362968
34,1183.12,0.71008,0.4331,0.97946,0.98115,0.98428,0.98742,0.86874,0.58148,0.30008,0.89305,0.00035028,0.00035028,0.00035028
35,1218.11,0.71707,0.43549,0.98262,0.9809,0.98392,0.98877,0.8691,0.59235,0.29882,0.89667,0.000337591,0.000337591,0.000337591
36,1252.74,0.71795,0.43463,0.97988,0.98561,0.98295,0.98715,0.86466,0.59333,0.29972,0.90223,0.000324903,0.000324903,0.000324903
37,1287.86,0.70894,0.42667,0.9769,0.98004,0.98622,0.98886,0.8727,0.56927,0.28885,0.88891,0.000312214,0.000312214,0.000312214
38,1322.6,0.70853,0.42332,0.97503,0.97892,0.9873,0.98824,0.87055,0.57674,0.28984,0.89071,0.000299525,0.000299525,0.000299525
39,1357.34,0.70255,0.42093,0.97383,0.97946,0.98852,0.98683,0.87188,0.57064,0.28856,0.89229,0.000286837,0.000286837,0.000286837
40,1392.69,0.7002,0.41975,0.97548,0.97966,0.99045,0.98676,0.87288,0.56687,0.28675,0.89099,0.000274148,0.000274148,0.000274148
41,1427.8,0.69321,0.41672,0.97049,0.98045,0.9847,0.98578,0.86858,0.57566,0.2885,0.8909,0.00026146,0.00026146,0.00026146
42,1462.75,0.69463,0.41814,0.97295,0.98101,0.98504,0.98811,0.87558,0.56114,0.28515,0.88232,0.000248772,0.000248772,0.000248772
43,1498.02,0.68764,0.40819,0.96725,0.97946,0.98324,0.98971,0.87285,0.57954,0.28689,0.89399,0.000236083,0.000236083,0.000236083
44,1533.19,0.69335,0.41454,0.97009,0.98222,0.98302,0.98736,0.87592,0.56297,0.28395,0.89,0.000223395,0.000223395,0.000223395
45,1568.47,0.68467,0.40313,0.96445,0.98137,0.98573,0.98694,0.87547,0.5603,0.28265,0.88941,0.000210706,0.000210706,0.000210706
46,1603.49,0.68248,0.40479,0.96503,0.98517,0.98069,0.9887,0.87238,0.56474,0.27763,0.88793,0.000198018,0.000198018,0.000198018
47,1638.68,0.67913,0.40275,0.96238,0.98103,0.98343,0.98749,0.87598,0.55235,0.28117,0.88335,0.000185329,0.000185329,0.000185329
48,1673.74,0.68034,0.40023,0.96438,0.9795,0.98772,0.98698,0.87436,0.56058,0.27833,0.889,0.000172641,0.000172641,0.000172641
49,1708.9,0.67918,0.40197,0.9652,0.98226,0.98376,0.98796,0.86783,0.58312,0.28008,0.89267,0.000159952,0.000159952,0.000159952
50,1744.28,0.67435,0.39807,0.96315,0.97907,0.9878,0.98696,0.87294,0.56947,0.27771,0.88572,0.000147264,0.000147264,0.000147264
51,1798.78,0.61917,0.28048,0.94729,0.97688,0.98993,0.98645,0.87549,0.55569,0.27938,0.88367,0.000134575,0.000134575,0.000134575
52,1832.28,0.61363,0.27743,0.94502,0.98106,0.98711,0.98741,0.87491,0.55976,0.27687,0.88331,0.000121887,0.000121887,0.000121887
53,1866.24,0.61089,0.27546,0.94487,0.98293,0.9833,0.98678,0.8724,0.56842,0.27525,0.88617,0.000109198,0.000109198,0.000109198
